teff,ra_x,dec_x,parallax,pmra,pmdec,g_mag,b_mag,r_mag,br_col,L,B
6116.51,183.38624296611,-2.48729871813,1.263,-25.804,-6.261,13.702323,13.960991,13.275517,0.258668,284.309416616158,59.0075492064889
6514.05,117.87316959362,13.09360542421,0.4287,0.338,-1.291,15.291009,15.530399,14.888102,0.239389999999998,207.674328054897,19.1387536450228
5870.72,44.8637904737,52.29256592314,4.0001,-8.721,-23.965,11.161479,11.605931,10.579256,0.444452,141.946865629713,-5.78861186548285
5687.47,189.42203043813,-4.11637279865,0.9773,-10.732,1.61,14.803081,15.178674,14.275178,0.375593,296.344584625241,58.5794048039201
5370.71,130.20251705798,23.15475678666,2.0542,-8.733,-4.502,13.975166,14.378295,13.415565,0.403129,202.024306124488,33.7215528528652
6408.02,333.43083855293,6.51638816842,1.2231,5.074,-5.902,12.749364,13.05112,12.290549,0.301755999999999,68.4823589084309,-39.1425187130978
5483.81,15.05436411946,36.8443734333,0.3902,-0.435,-2.419,15.862544,16.302116,15.26473,0.439572000000002,124.886000522041,-25.9940633824096
6165.81,335.8642577202,-1.61340219102,0.6306,34.801,-4.889,15.561832,15.866672,15.076084,0.304839999999999,62.3356738510294,-46.334032051746
5921.3,38.29492270762,38.54468540115,0.8522,-7.821,1.53,14.862372,15.179612,14.380587,0.31724,143.898085116346,-20.1496705524589
5873.51,52.01981992799,18.54994104136,1.7562,13.133,-3.582,12.668246,13.058083,12.124049,0.389837,167.007312882246,-30.6082919037486
4727.9,103.4328077815,-37.91872855179,1.1431,-7.814,19.232,10.152596,10.746491,9.46067,0.593895,247.843177630316,-15.8545541827509
5391,356.42824695612,-51.98243006776,2.4608,49.456,-10.299,11.958749,12.283109,11.475596,0.32436,324.905292555848,-62.2507937725332
6432.05,41.45334906656,33.84881606364,1.8334,8.688,-9.227,12.461314,12.75297,12.005804,0.291656,148.568797397154,-23.2665572183293
6519.84,81.81502810828,52.3299889058,0.7271,5.78,-6.785,14.005234,14.480466,13.368929,0.475232,158.265836871229,9.53365045782043
5224.48,349.13985716172,17.6571596776,0.6071,-5.72,-3.58,16.064909,16.51186,15.468684,0.446950999999999,93.0746530678383,-39.6510475332037
4945.97,234.03956804154,38.67835771507,0.8987,-10.229,2.773,16.269232,16.778057,15.618187,0.508825000000002,62.2171769302407,53.8903707589971
5809.1,25.91618024425,32.00366964006,0.6756,3.767,6.757,15.520932,15.844338,15.030334,0.323406,135.657269727087,-29.5742655469398
4052.35,96.48506934377,23.1520105021,5.6262,-35.945,-29.907,13.758333,14.572167,12.892224,0.813834,189.4770862384,5.07310636126068
6088.81,296.14892436959,50.71725198743,1.0788,-3.784,-8.078,13.815846,14.128558,13.345761,0.312711999999999,83.721364487997,12.9096862900124
5411.84,20.49590130962,33.47953802037,0.6359,18.295,-1.995,14.671602,15.084429,14.093583,0.412827,130.209627942403,-28.9601934848895
5586.917,265.39874531262,43.94442103696,0.4844,2.574,-8.351,16.846697,17.25129,16.291523,0.404593000000002,70.013559941516,30.5778756660847
4263.6,152.56873741891,-28.72089951946,0.684,-17.898,8.572,10.249251,11.059619,9.405665,0.810368,265.192109085947,22.0996974292895
4450.11,107.90126732068,22.63682507398,0.3972,-1.105,-2.559,11.67274,12.356344,10.900375,0.683604000000001,194.547661465222,14.3409638898462
6204.5,27.96754962715,26.80838059291,0.5355,33.532,-18.542,15.665906,15.939823,15.21035,0.273917000000001,139.255661501485,-34.1405101260441
5635.42,58.83968047116,15.83066867554,0.7516,7.217,-7.761,15.195897,15.728269,14.50134,0.532371999999999,174.567625322764,-28.0740185845804
5570.52,20.7537452436,-0.96125938445,0.5661,15.937,-4.177,16.263079,16.649708,15.708279,0.386628999999999,140.38955667528,-62.7578096767742
5815.83,22.21825338229,13.83845493992,0.9943,-0.235,-8.277,13.827087,14.165403,13.331915,0.338315999999999,136.59108847243,-48.0379867374545
5895.3,198.94233276138,-17.25745564881,4.7262,-4.412,1.995,10.873039,11.192622,10.42133,0.319583,311.192465744079,45.2236800374496
5029.55,185.9985701586,13.12959306599,2.3291,-39.014,1.647,14.356907,14.824801,13.732281,0.467894000000001,276.950240045495,74.5998826033893
6774.58,136.48800759356,15.44370984433,0.4205,-1.766,-0.252,14.434957,14.659933,14.058931,0.224976,213.389677251877,36.6202696172163
4824.01,225.47150244357,31.63392480157,0.8385,-11.927,-6.53,16.371468,16.94721,15.653185,0.575741999999998,49.8721210166899,61.3353274368769
5708.16,189.23853437114,-1.2808419225,0.9411,-14.413,-0.655,13.516722,13.884068,12.993049,0.367346,295.357935094107,61.3777307505683
5572.88,111.88966973612,39.24761818816,2.3082,5.942,-2.477,13.237335,13.628493,12.697712,0.391158000000001,179.357827805056,23.3698994153588
6424.13,10.47892405627,3.23222502833,1.1909,-6.9,-5.352,11.989705,12.244973,11.58531,0.255267999999999,118.237758133413,-59.5527079601309
5958.45,55.67000637204,39.86477919728,1.1534,8.044,-7.029,13.32939,13.752093,12.746259,0.422703,155.165949850753,-12.0557729387412
5405.47,223.09076205796,33.21964023159,1.8062,-11.628,-13.738,14.116737,14.507289,13.569168,0.390552,53.4927832196651,63.2649118545065
4146.36,117.55885753173,42.76817047979,6.7221,0.538,-23.927,12.957804,13.801332,12.06955,0.843528000000001,176.748108636193,28.3862660728061
5899.96,201.99501184285,-1.67455149842,1.2458,-2.386,0.212,14.041629,14.350143,13.573631,0.308513999999999,321.370214030254,59.8825821949516
